Island,Country,Country Code,Overall Rank,Average Rank,British Cuisine Availability,British Cuisine Rank,English Language Prevalence,English Language Prevalence Rank,ENGLISH SPEAKING ACTIVITIES,Things To Do Rank,RAINFALL,Rainfall Rank
Paris,France,FR,1,6,52,2,1000,4,"3,486",3,641,15
Phuket,Thailand,TH,2,7.75,59,6,1000,15,1472,9,2500,1
Santorini,Greece,GR,3,8,5,8,1000,2,1410,5,554,17
Cancun,Mexico,MX,4,9.5,0,24,1000,5,2901,4,1400,5
Positano,Italy,IT,5,9.5,0,23,52,6,1283,1,1111,8
Benidorm,Spain,ES,6,9.75,121,1,1000,1,46,12,260,25
Ayia Napa,Cyprus,CY,7,10.25,9,3,153,7,80,10,432,21
Lake Como,Italy,IT,8,10.25,1,19,585,8,579,8,1300,6
Malta,Malta,MT,9,10.25,43,4,1000,10,575,11,600,16
Capri,Italy,IT,10,10.75,0,27,122,3,648,2,938,11
Barbados,Barbados,BB,11,11.25,10,13,"1,000",13,246,15,1525,4
Zakynthos,Greece,GR,12,12,34,7,938,12,158,17,924,12
Punta Cana,Dominican Republic,DO,13,13,1,21,1000,14,"2,033",7,988,10
Kos,Greece,GR,14,13.5,11,10,1000,9,75,22,844,13
Bali,Indonesia,ID,15,13.75,66,17,1000,23,5954,13,1642,2
Mykonos,Greece,GR,16,14,1,16,232,11,514,6,385,23
Koh Phangan,Thailand,TH,17,14.75,1,20,99,18,57,18,1615,3
Ibiza,Spain,ES,18,15.25,31,9,656,16,298,16,450,20
Rhodes,Greece,GR,19,16.5,20,15,1000,17,445,20,687,14
Tenerife,Spain,ES,20,17,238,5,1000,20,658,19,281,24
Hvar,Croatia,HR,21,18,0,25,50,24,215,14,1028,9
Algarve,Portugal,PT,22,18.75,89,14,1000,21,"1,447",21,499,19
Magaluf,Spain,ES,23,19.5,129,12,530,25,629,23,522,18
Mallorca,Spain,ES,24,20,131,11,648,22,284,25,400,22
Pag,Croatia,HR,25,21.5,0,26,2,27,20,26,1287,7
Ios,Greece,GR,26,21.75,1,18,55,19,14,24,221,26
Sardinia,Italy,IT,27,25.5,4,22,835,26,615,27,93,27
